content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment,bank_id
best app i like it,CBE Bank,[],"['best', 'like']",0.7717,1.0,0.3,positive,
ገላግሌ ብየዋለው ጥድት ያለ አፕ,CBE Bank,"['ብየዋለው', 'ጥድት']","['ገላግሌ', 'ብየዋለው', 'ጥድት']",0.0,0.0,0.0,neutral,
vibe,CBE Bank,['vibe'],['vibe'],0.0,0.0,0.0,neutral,
digital banking,CBE Bank,['banking'],"['digital', 'banking']",0.0,0.0,0.0,neutral,
it is very good service you are giving,CBE Bank,['service'],"['good', 'service', 'giving']",0.6801,0.9099999999999999,0.7800000000000001,positive,
Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,CBE Bank,"['tajajilli', 'keessan', 'dubati', 'hafadha', 'አገልግሎታችሁን', 'ዱባቲ', 'ሀፋድህን', 'አቆይ', 'your', 'service']","['tajajilli', 'keessan', 'dubati', 'hafadha', 'አገልግሎታችሁን', 'ዱባቲ', 'ሀፋድህን', 'አቆይ', 'your', 'service', 'will', 'stay', 'behind']",0.0,-0.4,0.7,neutral,
nice app for me,CBE Bank,[],"['nice', 'for']",0.4215,0.6,1.0,positive,
ps fast and easy,CBE Bank,['fast'],"['fast', 'easy']",0.4404,0.31666666666666665,0.7166666666666667,positive,
I Am Proud Of CBE Period!!!,CBE Bank,"['proud', 'cbe', 'period']","['proud', 'cbe', 'period']",0.6093,1.0,1.0,positive,
very good,CBE Bank,[],['good'],0.4927,0.9099999999999999,0.7800000000000001,positive,
CBE is my beast one for any transactions,CBE Bank,"['cbe', 'transactions']","['cbe', 'beast', 'one', 'for', 'any', 'transactions']",0.0,0.0,0.0,neutral,
nice App,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive,
not work app,CBE Bank,['work'],"['not', 'work']",0.0,0.0,0.0,neutral,
its good,CBE Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive,
it nice and fast but usually it bad the connection by 4g network it still bad,CBE Bank,"['connection', 'network']","['nice', 'fast', 'usually', 'bad', 'connection', 'network', 'still', 'bad']",-0.8625,-0.1499999999999999,0.7333333333333333,negative,
so nice,CBE Bank,[],['nice'],0.4754,0.6,1.0,positive,
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
good application,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,
wow,CBE Bank,['wow'],['wow'],0.5859,0.1,1.0,positive,
ohh very useful and easy for use,CBE Bank,['use'],"['ohh', 'useful', 'easy', 'for', 'use']",0.7474,0.4116666666666667,0.4166666666666667,positive,
Very good service all times,CBE Bank,"['service', 'times']","['good', 'service', 'all', 'times']",0.4927,0.9099999999999999,0.7800000000000001,positive,
melkam new,CBE Bank,[],"['melkam', 'new']",0.0,0.13636363636363635,0.45454545454545453,neutral,
