index,reviewId,content,score,at,bank,transformer_sentiment_label,transformer_sentiment_score,identified_theme
0,d07e2804-de78-49a9-a73e-24612e86b874,best app i like it,5,2026-03-20,CBE Bank,POSITIVE,0.9997627139091492,Other
1,5d863609-c7e8-4dcc-8dd1-4dd4e354e18b,ገላግሌ ብየዋለው ጥድት ያለ አፕ,5,2026-03-20,CBE Bank,NEGATIVE,-0.8832126259803772,Other
2,ee70f343-8b30-4354-9225-a1a2d7e96c38,vibe,4,2026-03-21,CBE Bank,POSITIVE,0.998847246170044,Other
3,ce97d95e-1f38-4289-8b95-6f5ff52009ca,digital banking,5,2026-03-21,CBE Bank,POSITIVE,0.9698484539985656,Other
4,a3a8098a-6090-4f71-bc98-0d0c10a03828,it is very good service you are giving,5,2026-03-21,CBE Bank,POSITIVE,0.9998605251312256,Customer Support
5,7d3f7f6a-7075-4d17-9ce4-c68e10508eaa,Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,1,2026-03-21,CBE Bank,POSITIVE,0.8770357966423035,Customer Support
6,a2f8bd7d-012a-4509-b2b2-f3a62934fbd7,nice app for me,3,2026-03-21,CBE Bank,POSITIVE,0.9997487664222716,Other
7,266ab464-1be3-4b84-a17f-871d945a2948,ps fast and easy,5,2026-03-21,CBE Bank,POSITIVE,0.9974810481071472,User Experience
8,0b2d535b-2e6d-4008-ab95-37a21c428dfe,I Am Proud Of CBE Period!!!,5,2026-03-22,CBE Bank,POSITIVE,0.9998430013656616,Other
9,e5851983-37ab-4b1b-b945-158cc09d6c1e,very good,5,2026-03-22,CBE Bank,POSITIVE,0.9998520612716676,Other
10,b780110f-c277-4c37-8497-71b6bc7024b6,CBE is my beast one for any transactions,5,2026-03-22,CBE Bank,POSITIVE,0.99633526802063,Transactions
11,895c08ab-0260-48ee-8534-0d4b73716cb1,nice App,5,2026-03-22,CBE Bank,POSITIVE,0.9998061060905457,Other
12,b46fa636-8f33-428e-865f-da9edafbf564,not work app,5,2026-03-23,CBE Bank,NEGATIVE,-0.9996713399887084,Other
13,11e976e9-9aed-47c7-ad09-42dafea87186,its good,5,2026-03-24,CBE Bank,POSITIVE,0.9998385906219482,Other
14,64daed77-fad0-490f-b45d-bd05bf7a7073,it nice and fast but usually it bad the connection by 4g network it still bad,4,2026-03-24,CBE Bank,NEGATIVE,-0.9988802075386048,Performance
15,a9081b38-85fb-4d40-9ff8-4d19e5239680,so nice,5,2026-03-24,CBE Bank,POSITIVE,0.9998610019683838,Other
16,54797f8a-174f-4b14-893b-0985f83c2ba7,good,5,2026-03-25,CBE Bank,POSITIVE,0.999816119670868,Other
17,4dd78d45-7014-4815-95ed-762688080aa6,good application,5,2026-03-25,CBE Bank,POSITIVE,0.999854564666748,Other
18,814d952d-d838-480a-83e0-9a663f625cb1,wow,5,2026-03-25,CBE Bank,POSITIVE,0.999592125415802,Other
19,35505eb3-312a-489a-89c4-fb2cb90d41fe,ohh very useful and easy for use,5,2026-03-25,CBE Bank,POSITIVE,0.9979259967803956,User Experience
20,b0c4f433-b309-48fa-9890-b3d8a76027c1,Very good service all times,5,2026-03-25,CBE Bank,POSITIVE,0.9998514652252196,Customer Support
21,4f977e1c-c55e-46e0-a24c-a8f784519209,melkam new,4,2026-03-27,CBE Bank,NEGATIVE,-0.9627685546875,Other
22,9e4ef51d-d832-45f2-80c2-b1294d38b4d9,good,5,2026-03-27,CBE Bank,POSITIVE,0.999816119670868,Other
23,08aa1c98-fcbd-460e-99a5-f0d8c257cb3b,good,5,2026-03-28,CBE Bank,POSITIVE,0.999816119670868,Other
24,515df2eb-bb87-4f47-b365-85b767e24ee2,Thank you,5,2026-03-28,CBE Bank,POSITIVE,0.9998352527618408,Other
25,204c76ec-400e-4d53-8256-025a4d815460,nice,5,2026-03-28,CBE Bank,POSITIVE,0.9998552799224854,Other
26,64afd113-325b-4ba0-808d-8da838b60f6e,It charges high amount of service charge.,1,2026-03-28,CBE Bank,POSITIVE,0.97749525308609,Customer Support
27,4523afaa-69d2-4138-b7a8-b45d4f744007,best,5,2026-03-28,CBE Bank,POSITIVE,0.9997941851615906,Other
28,421db8d8-efe2-427a-8d66-e4b1b5264c7a,excellent,5,2026-03-28,CBE Bank,POSITIVE,0.9998434782028198,Other
29,926c680b-df44-4ad1-94db-f43219778dc9,easygoing & Convenient to use.,5,2026-03-29,CBE Bank,POSITIVE,0.9991795420646667,User Experience
30,6dc33941-caad-4ed2-9d42-634cdf3d3143,good,5,2026-03-29,CBE Bank,POSITIVE,0.999816119670868,Other
31,28fa66fd-d72c-43e0-a478-c886d6a1f768,saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,1,2026-03-29,CBE Bank,NEGATIVE,-0.9966676831245422,Transactions
32,91130329-684b-45a8-a4fa-5f3944810025,Pleas allow self service on Mobile banking.,5,2026-03-29,CBE Bank,NEGATIVE,-0.9784427881240844,Customer Support
33,ceae0370-683b-409e-9313-522b360a5393,i use CBE almost more than 5 years,3,2026-03-30,CBE Bank,NEGATIVE,-0.9014225006103516,Other
34,57af1799-a681-4c52-8c34-d8cb364f1a8c,this app essential app on this time,5,2026-03-30,CBE Bank,POSITIVE,0.9950023293495178,Other
35,b37f9896-79f3-4b0f-a2f3-221f05b18a59,"After update not working at all, I live in abroad.",1,2026-03-30,CBE Bank,NEGATIVE,-0.8973283171653748,Other
36,70cd0784-abc8-45bc-a86a-fe2d04daccbe,nice,1,2026-03-30,CBE Bank,POSITIVE,0.9998552799224854,Other
37,eda1934e-59cb-46fb-a470-e68a7543de89,it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,1,2026-03-30,CBE Bank,NEGATIVE,-0.9998195767402648,Other
38,bf81e935-6c4f-4599-a97f-932d117a38c4,best bank ever,5,2026-03-30,CBE Bank,POSITIVE,0.9998133778572084,Other
39,c10130df-9664-46e5-b60d-78fa3b93c55b,best app,5,2026-03-30,CBE Bank,POSITIVE,0.999686598777771,Other
40,5be680f9-3c97-41c2-adb9-0b7a6ae4875d,does this app support international transactions,3,2026-03-31,CBE Bank,POSITIVE,0.9887037873268129,Transactions
41,ae4d4a4b-f846-4f7c-8351-fd90d0834dab,Why mobile Banking is not functional?,2,2026-03-31,CBE Bank,NEGATIVE,-0.9996395111083984,Other
42,7a744a61-8a4c-485c-888e-31881e76cc0c,"very nice app, but charge more.",5,2026-03-31,CBE Bank,POSITIVE,0.9977237582206726,Other
43,56b75654-cbfb-45bc-b4a9-de3d520685d7,not working,3,2026-03-31,CBE Bank,NEGATIVE,-0.999777853488922,Other
44,a9afc642-67b2-4a82-b7f3-b029c13b4512,I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,3,2026-03-31,CBE Bank,NEGATIVE,-0.9996083378791808,Other
45,c7a8f1f6-457c-4b22-8be5-4ed295adb522,very excellent application the number one bank of Ethiopia thanks,5,2026-03-31,CBE Bank,POSITIVE,0.9998600482940674,Other
46,fabb0087-9b9b-4848-8689-79256abde043,Good app,5,2026-03-31,CBE Bank,POSITIVE,0.9998493194580078,Other
47,c8963a82-191d-4aee-9726-28491cbbc5b9,not working,5,2026-04-01,CBE Bank,NEGATIVE,-0.999777853488922,Other
48,d162ca5d-6e44-4d50-a184-f5382e891677,it's fast and easy nice,5,2026-04-01,CBE Bank,POSITIVE,0.999872088432312,User Experience
49,384cd8a3-51b4-4a85-9ce8-2476fb88faa2,Good,1,2026-04-01,CBE Bank,POSITIVE,0.999816119670868,Other
50,477aca49-9c4e-4980-b1bb-c3c66885ab59,"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",5,2026-04-01,CBE Bank,NEGATIVE,-0.996285080909729,Stability
51,c711ebde-1bff-466a-960c-7c0cf9b7dc3f,best,5,2026-04-01,CBE Bank,POSITIVE,0.9997941851615906,Other
52,be14cdd7-cb58-422d-a032-45af1ae49382,girms,5,2026-04-01,CBE Bank,POSITIVE,0.9923914074897766,Other
53,7c28c207-a007-4441-89c9-c40854fed840,good update,5,2026-04-02,CBE Bank,POSITIVE,0.9998435974121094,Other
54,104fbffc-b2dd-435c-a91f-1d5270d4d02e,It's a good improvement. the app,5,2026-04-02,CBE Bank,POSITIVE,0.9997755885124208,Other
55,4cf50ec7-cc6b-4b47-9632-6a20c8962d77,good,5,2026-04-02,CBE Bank,POSITIVE,0.999816119670868,Other
56,e75fc5e5-d487-461f-af3c-236a2b3d349a,best,5,2026-04-02,CBE Bank,POSITIVE,0.9997941851615906,Other
57,c9be33ea-ce9d-49d6-8e0f-2b9c07262c0e,ok,5,2026-04-02,CBE Bank,POSITIVE,0.9997851252555848,Other
58,2f6b1a0f-89d0-4948-a96b-80240e99337e,best,5,2026-04-02,CBE Bank,POSITIVE,0.9997941851615906,Other
